  reported      58%   (battery service)
  charger       not charging   (P0.17 ~CHG)
  computed      3,789 mV -> 58%
  at the pin    1,280 mV   (1,457 raw counts)
  divider off   3,956 raw counts
  control       3,301 mV for the 3.3V rail   (ADC is sound)
  divider       P0.14 LOW - enabled
  errors        none

  >> the gauge is reading the cell

  sampling every 5 min for 1440 min, every 1 min below 3,600 mV

  20:26:05  t+ 626.5min  3,624 mV   32%  on cell   (pin 1,224 mV, vdd 3,304 mV)
  20:27:06  t+ 627.5min  3,635 mV   34%  on cell   (pin 1,228 mV, vdd 3,302 mV)
  20:28:08  t+ 628.5min  3,606 mV   29%  on cell   (pin 1,218 mV, vdd 3,294 mV)
  20:29:15  t+ 629.6min  3,618 mV   30%  on cell   (pin 1,222 mV, vdd 3,298 mV)
  20:30:18  t+ 630.7min  3,635 mV   34%  on cell   (pin 1,228 mV, vdd 3,296 mV)
  20:31:21  t+ 631.7min  3,659 mV   39%  on cell   (pin 1,236 mV, vdd 3,300 mV)
  20:32:22  t+ 632.8min  3,632 mV   33%  on cell   (pin 1,227 mV, vdd 3,302 mV)
  20:33:24  t+ 633.8min  3,600 mV   28%  on cell   (pin 1,216 mV, vdd 3,299 mV)
  20:34:26  t+ 634.8min  3,635 mV   34%  on cell   (pin 1,228 mV, vdd 3,298 mV)
  20:35:28  t+ 635.9min  3,576 mV   26%  on cell   (pin 1,208 mV, vdd 3,302 mV)
  20:36:30  t+ 636.9min  3,632 mV   33%  on cell   (pin 1,227 mV, vdd 3,298 mV)
  20:37:32  t+ 637.9min  3,609 mV   29%  on cell   (pin 1,219 mV, vdd 3,299 mV)
  20:38:34  t+ 638.9min  3,618 mV   30%  on cell   (pin 1,222 mV, vdd 3,300 mV)
  20:39:35  t+ 640.0min  3,641 mV   35%  on cell   (pin 1,230 mV, vdd 3,304 mV)
  20:40:39  t+ 641.0min  3,594 mV   28%  on cell   (pin 1,214 mV, vdd 3,297 mV)
  20:41:40  t+ 642.1min  3,641 mV   35%  on cell   (pin 1,230 mV, vdd 3,300 mV)
  20:42:42  t+ 643.1min  3,629 mV   33%  on cell   (pin 1,226 mV, vdd 3,304 mV)
  20:43:45  t+ 644.1min  3,621 mV   31%  on cell   (pin 1,223 mV, vdd 3,302 mV)
  20:44:48  t+ 645.2min  3,632 mV   33%  on cell   (pin 1,227 mV, vdd 3,307 mV)
  20:45:50  t+ 646.2min  3,626 mV   32%  on cell   (pin 1,225 mV, vdd 3,301 mV)
  20:46:52  t+ 647.3min  3,647 mV   37%  on cell   (pin 1,232 mV, vdd 3,302 mV)
  20:47:55  t+ 648.3min  3,650 mV   37%  on cell   (pin 1,233 mV, vdd 3,298 mV)
  20:48:57  t+ 649.3min  3,612 mV   30%  on cell   (pin 1,220 mV, vdd 3,305 mV)
  20:50:00  t+ 650.4min  3,638 mV   35%  on cell   (pin 1,229 mV, vdd 3,303 mV)
  20:51:02  t+ 651.4min  3,629 mV   33%  on cell   (pin 1,226 mV, vdd 3,301 mV)
  20:52:03  t+ 652.4min  3,609 mV   29%  on cell   (pin 1,219 mV, vdd 3,304 mV)
  20:53:05  t+ 653.5min  3,621 mV   31%  on cell   (pin 1,223 mV, vdd 3,295 mV)
  20:54:06  t+ 654.5min  3,638 mV   35%  on cell   (pin 1,229 mV, vdd 3,309 mV)
  20:55:09  t+ 655.5min  3,612 mV   30%  on cell   (pin 1,220 mV, vdd 3,302 mV)
  20:56:10  t+ 656.6min  3,567 mV   25%  on cell   (pin 1,205 mV, vdd 3,296 mV)
  20:57:13  t+ 657.6min  3,618 mV   30%  on cell   (pin 1,222 mV, vdd 3,300 mV)
  20:58:15  t+ 658.6min  3,615 mV   30%  on cell   (pin 1,221 mV, vdd 3,306 mV)
  20:59:18  t+ 659.7min  3,621 mV   31%  on cell   (pin 1,223 mV, vdd 3,302 mV)
  21:00:19  t+ 660.7min  3,576 mV   26%  on cell   (pin 1,208 mV, vdd 3,309 mV)
  21:01:23  t+ 661.8min  3,615 mV   30%  on cell   (pin 1,221 mV, vdd 3,297 mV)
  21:02:26  t+ 662.8min  3,647 mV   37%  on cell   (pin 1,232 mV, vdd 3,306 mV)
  21:03:30  t+ 663.9min  3,600 mV   28%  on cell   (pin 1,216 mV, vdd 3,305 mV)
  21:04:31  t+ 664.9min  3,612 mV   30%  on cell   (pin 1,220 mV, vdd 3,306 mV)
  21:05:34  t+ 665.9min  3,621 mV   31%  on cell   (pin 1,223 mV, vdd 3,300 mV)
  21:06:36  t+ 667.0min  3,615 mV   30%  on cell   (pin 1,221 mV, vdd 3,304 mV)
  21:07:38  t+ 668.0min  3,635 mV   34%  on cell   (pin 1,228 mV, vdd 3,301 mV)
  21:08:40  t+ 669.0min  3,647 mV   37%  on cell   (pin 1,232 mV, vdd 3,302 mV)
  21:09:42  t+ 670.1min  3,609 mV   29%  on cell   (pin 1,219 mV, vdd 3,300 mV)
  21:10:44  t+ 671.1min  3,606 mV   29%  on cell   (pin 1,218 mV, vdd 3,296 mV)
  21:11:46  t+ 672.1min  3,621 mV   31%  on cell   (pin 1,223 mV, vdd 3,302 mV)
  21:12:49  t+ 673.2min  3,600 mV   28%  on cell   (pin 1,216 mV, vdd 3,300 mV)
  21:13:52  t+ 674.3min  3,615 mV   30%  on cell   (pin 1,221 mV, vdd 3,303 mV)
  21:14:56  t+ 675.3min  3,647 mV   37%  on cell   (pin 1,232 mV, vdd 3,302 mV)
  21:16:00  t+ 676.4min  3,606 mV   29%  on cell   (pin 1,218 mV, vdd 3,296 mV)
  21:17:02  t+ 677.4min  3,603 mV   29%  on cell   (pin 1,217 mV, vdd 3,302 mV)
  21:18:04  t+ 678.5min  3,603 mV   29%  on cell   (pin 1,217 mV, vdd 3,302 mV)
  21:19:07  t+ 679.5min  3,594 mV   28%  on cell   (pin 1,214 mV, vdd 3,306 mV)
  21:20:09  t+ 680.5min  3,621 mV   31%  on cell   (pin 1,223 mV, vdd 3,308 mV)
  21:21:11  t+ 681.6min  3,641 mV   35%  on cell   (pin 1,230 mV, vdd 3,296 mV)
  21:22:15  t+ 682.6min  3,641 mV   35%  on cell   (pin 1,230 mV, vdd 3,302 mV)
  21:23:16  t+ 683.7min  3,647 mV   37%  on cell   (pin 1,232 mV, vdd 3,296 mV)
  21:24:18  t+ 684.7min  3,635 mV   34%  on cell   (pin 1,228 mV, vdd 3,305 mV)
  21:25:20  t+ 685.7min  3,603 mV   29%  on cell   (pin 1,217 mV, vdd 3,303 mV)
  21:26:22  t+ 686.7min  3,579 mV   26%  on cell   (pin 1,209 mV, vdd 3,305 mV)
  21:27:24  t+ 687.8min  3,650 mV   37%  on cell   (pin 1,233 mV, vdd 3,300 mV)
  21:28:26  t+ 688.8min  3,650 mV   37%  on cell   (pin 1,233 mV, vdd 3,302 mV)
  21:29:27  t+ 689.8min  3,609 mV   29%  on cell   (pin 1,219 mV, vdd 3,289 mV)
  21:30:30  t+ 690.9min  3,624 mV   32%  on cell   (pin 1,224 mV, vdd 3,304 mV)
  21:31:31  t+ 691.9min  3,615 mV   30%  on cell   (pin 1,221 mV, vdd 3,296 mV)
  21:32:36  t+ 693.0min  3,624 mV   32%  on cell   (pin 1,224 mV, vdd 3,295 mV)
  21:33:40  t+ 694.1min  3,609 mV   29%  on cell   (pin 1,219 mV, vdd 3,311 mV)
  21:34:42  t+ 695.1min  3,615 mV   30%  on cell   (pin 1,221 mV, vdd 3,296 mV)
